lineup,slot,name,pos,team,opp,salary,proj_points
16,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
16,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
16,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
16,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
16,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
16,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
16,DST,Green Bay Packers,DST,GB,DET,1700,4.090223037491468
16,TOTAL,,,,,50000,162.7174626325131
17,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
17,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
17,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
17,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
17,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
17,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
17,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
17,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
17,DST,New York Jets,DST,NYJ,PIT,1100,2.2024277894184827
17,TOTAL,,,,,50000,162.69648712975675
18,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
18,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
18,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
18,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
18,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
18,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
18,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
18,FLEX,Kenneth Walker III,RB,SEA,SF,5900,17.556495807078758
18,DST,Green Bay Packers,DST,GB,DET,1700,4.090223037491468
18,TOTAL,,,,,50000,162.66502387562218
19,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
19,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
19,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
19,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
19,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
19,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
19,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
19,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
19,DST,San Francisco 49ers,DST,SF,SEA,2700,7.236548450946443
19,TOTAL,,,,,50000,162.654536124244
20,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
20,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
20,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
20,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
20,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
20,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
20,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
20,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
20,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.51706033076398
20,TOTAL,,,,,50000,162.56014636184037
21,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
21,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
21,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
21,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
21,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
21,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
21,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
21,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
