lineup,slot,name,pos,team,opp,salary,proj_points
25,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
25,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
25,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
25,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.087565402597594
25,DST,Indianapolis Colts,DST,IND,MIA,2000,4.793706249705929
25,TOTAL,,,,,50000,154.65694788113754
26,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
26,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
26,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
26,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
26,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
26,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
26,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
26,FLEX,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
26,DST,Green Bay Packers,DST,GB,DET,1700,3.8948863278860673
26,TOTAL,,,,,50000,154.63697410509707
27,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
27,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
27,RB,Kenneth Walker III,RB,SEA,SF,5900,16.718050545849426
27,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
27,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
27,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
27,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
27,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
27,DST,New Orleans Saints,DST,NO,ARI,1500,3.295673046672826
27,TOTAL,,,,,50000,154.6070134410364
28,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
28,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
28,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
28,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
28,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
28,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
28,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
28,FLEX,Kenneth Walker III,RB,SEA,SF,5900,16.718050545849426
28,DST,Miami Dolphins,DST,MIA,IND,2100,5.093312890312549
28,TOTAL,,,,,50000,154.58703966499596
29,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
29,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
29,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
29,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
29,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
29,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
29,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
29,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
29,DST,Detroit Lions,DST,DET,GB,3000,7.7897726557721345
29,TOTAL,,,,,50000,154.5770527769758
30,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
30,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
30,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
30,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
30,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
30,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
30,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
30,FLEX,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
30,DST,Detroit Lions,DST,DET,GB,3000,7.7897726557721345
30,TOTAL,,,,,50000,154.54709211291512
31,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
31,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
31,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
31,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
31,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
31,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
31,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
31,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.087565402597594
31,DST,Green Bay Packers,DST,GB,DET,1700,3.8948863278860673
31,TOTAL,,,,,50000,154.497157672814
32,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
32,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
32,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
32,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
32,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
32,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
32,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
32,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
32,DST,New Orleans Saints,DST,NO,ARI,1500,3.295673046672826
32,TOTAL,,,,,50000,154.4871707847938
33,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
33,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
33,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
33,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
33,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
33,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
33,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
33,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.087565402597594
33,DST,Carolina Panthers,DST,CAR,JAX,1800,4.194492968492688
33,TOTAL,,,,,50000,154.47718389677357
34,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
34,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
34,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
34,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
34,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
34,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
34,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
34,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.087565402597594
34,DST,Denver Broncos,DST,DEN,TEN,1400,2.9960664060662054
34,TOTAL,,,,,50000,154.47718389677357
35,QB,Joe Burrow,QB,CIN,CLE,6900,23.958544360509425
35,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
35,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
35,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
35,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
35,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
35,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
35,FLEX,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
